// K10
4530;5567828172
// SRU:4531	"Antal ägda andelar vid årets ingång"
4531;360000
// SRU:4532	"Totala antalet andelar i hela företaget vid årets ingång"
4532;360000
// SRU:4511	"Årets gränsbelopp enligt förenklingsregeln"				(=183 700 * ägar_andel)
4511;183700
// SRU:4501	"Sparat utdelningsutrymme från föregående år * 103%)	(103% av förra årets sparade utrymme, förra årets SRU:4724)
4501;1292162
// SRU:4502	"Gränsbelopp enligt förenklingsregeln"					(SRU:4511 + SRU:4501
4502;1292162
// SRU:4503	"Gränsbelopp att utnyttja vid p. 1.7 nedan"				(SRU:4502)
4503;1292162
// // Utdelning som beskattas I TJÄNST"
// SRU:4504	"Utdelning"										(Från BAS:2898, SRU:7369)
4504;200000
// SRU:4721	"Gränsbelopp SRU:4503"
4721;1292162
// SRU:4722	"Sparat utdelningsutrymme"							(SRU:4504 - SRU:4721)
4722;1092163
// SRU:4724	"Sparat utdelningsutrymme till nästa år"					(SRU:4722)
4724;1092163
// // Utdelning som beskattas i KAPITAL
// SRU:4506	"Utdelning"										(SRU:4504)
4506;200000
// SRU:4507	"Utdelning i Kapital"
4507;200000
// SRU:4508	Det minsta av (2/3 av gränsbelopp vs 2/3 av utdelning Kapital)
4508:133333
// SRU:4509	Resterande utdelning (utdelning kapital - gränsbelopp om positivt annars 0)
4509;0
// SRU:4515	"Utdelning som tas upp i kapital"						(Till INK1 p. 7.7. SRU:1100)
4515;133333
// // INK1
// SRU:1000 	"1.1 Lön Förmåner, Sjukpenning mm"	(Från förtryckta uppgifter)
1000;32963
// SRU:1100	"7.2 Ränteinkomster, utdelningar..."	(från K10 SRU:4515	"Utdelning som tas upp i kapital")
1100;133333
